Feature,Importance
Complains,0.18959405403009888
Subscription Length,0.12087626839476477
Status,0.12032632939921213
Seconds of Use,0.11979170649042895
Frequency of use,0.10875066486980342
Distinct Called Numbers,0.07899388240026559
Customer Value,0.0772871756645054
Call Failure,0.06126365816718396
Frequency of SMS,0.05369238524699146
Age,0.02722701675356149
Age Group,0.027117569624476333
Charge Amount,0.014057011630059582
Tariff Plan,0.0010222773286478577
