Feature,Permutation Importance (F1 drop)
Status,0.20965992987911958
Frequency of use,0.14197809974682485
Seconds of Use,0.1397365132573171
Complains,0.12734039693560514
Distinct Called Numbers,0.09132564793487843
Subscription Length,0.08253682261886428
Call Failure,0.05208377656475659
Age,0.04020502823580955
Age Group,0.03229604324465109
Customer Value,0.01708310514203405
Frequency of SMS,0.01055859727229469
Tariff Plan,0.0007035340314135885
Charge Amount,-0.0007827569578396698
